md5,path,box_path,filename,restricted,redacted,publish
3e1f0f049fb4dded597da28589c33328  ,/LCAAJ Redacted Images/LCAAJ_78_AnsSheet_47179_BBA_001.tif,LCAAJ Redacted Images,LCAAJ_78_AnsSheet_47179_BBA_001.tif,,,
3cdd2b2df42a8f9fea3111a48ffc2ce4  ,/LCAAJ Redacted Images/LCAAJ_88_AnsSheet_48233_BB112-127_014.tif,LCAAJ Redacted Images,LCAAJ_88_AnsSheet_48233_BB112-127_014.tif,,,
e770e7d36cab93de65297c9e8757a967  ,/LCAAJ Redacted Images/LCAAJ_172_AnsSheet_47228_BB11-35_004.tif,LCAAJ Redacted Images,LCAAJ_172_AnsSheet_47228_BB11-35_004.tif,,,
616c6fbd32f437efb541c1fcfc516c7d  ,/LCAAJ Redacted Images/LCAAJ_172_AnsSheet_48085_BBX_001.tif,LCAAJ Redacted Images,LCAAJ_172_AnsSheet_48085_BBX_001.tif,,,
ffc686fa802487f2e5d52b00ceeac5c6  ,/LCAAJ Redacted Images/LCAAJ_172_AnsSheet_47070_BBX_001.tif,LCAAJ Redacted Images,LCAAJ_172_AnsSheet_47070_BBX_001.tif,,,
78fdd9376030cbdebf58e5c0cd821e5d  ,/LCAAJ Redacted Images/LCAAJ_81_AnsSheet_47268_BB1-24_00B.tif,LCAAJ Redacted Images,LCAAJ_81_AnsSheet_47268_BB1-24_00B.tif,restricted,,
cfddd31a3da28de2b6b45ebf242dc38d  ,/LCAAJ Redacted Images/LCAAJ_78_AnsSheet_47179_BBA_014.tif,LCAAJ Redacted Images,LCAAJ_78_AnsSheet_47179_BBA_014.tif,,,
f2005937378828621a43da4340027ea1  ,/LCAAJ Redacted Images/LCAAJ_172_AnsSheet_48085_BBXX_001.tif,LCAAJ Redacted Images,LCAAJ_172_AnsSheet_48085_BBXX_001.tif,,,
7ad3a0cb82684f1962437d176d711478  ,/LCAAJ Redacted Images/LCAAJ_92_AnsSheet_48277_BBX_001.tif,LCAAJ Redacted Images,LCAAJ_92_AnsSheet_48277_BBX_001.tif,,,
fb6f11dec83ab3a806e7b999bcdab4f7  ,/LCAAJ Redacted Images/LCAAJ_81_AnsSheet_47268_BB212-220_009.tif,LCAAJ Redacted Images,LCAAJ_81_AnsSheet_47268_BB212-220_009.tif,,,
afab5a1dd20678c97b351d8a965554ee  ,/LCAAJ Redacted Images/LCAAJ_92_AnsSheet_48277_BBX_002.tif,LCAAJ Redacted Images,LCAAJ_92_AnsSheet_48277_BBX_002.tif,,,
