md5,filename,path
6e4caffa618927e1dd7334e4b674265c  ,LCAAJ_84_AnsSheet_47302_00B.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box084/TIFFs/LCAAJ_84_AnsSheet_47302/LCAAJ_84_AnsSheet_47302_00B.tif
9b6a8e9b698c20a66c28fc58c3862e0a  ,LCAAJ_84_AnsSheet_47302_00C.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box084/TIFFs/LCAAJ_84_AnsSheet_47302/LCAAJ_84_AnsSheet_47302_00C.tif
c126c2eb528d7ec01ac441b4235a3ddc  ,LCAAJ_77_AnsSheet_46306_00B.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box077/TIFFs/LCAAJ_77_AnsSheet_46306/LCAAJ_77_AnsSheet_46306_00B.tif
c126c2eb528d7ec01ac441b4235a3ddc  ,LCAAJ_77_AnsSheet_46306_0AA.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box077/TIFFs/LCAAJ_77_AnsSheet_46306/LCAAJ_77_AnsSheet_46306_0AA.tif
d2394528b43307ee92d98ca003e68232  ,LCAAJ_90_AnsSheet_48256_199B.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box090/TIFFS/LCAAJ_90_AnsSheet_48256/LCAAJ_90_AnsSheet_48256_199B.tif
d2394528b43307ee92d98ca003e68232  ,LCAAJ_90_AnsSheet_48256_199A.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box090/TIFFS/LCAAJ_90_AnsSheet_48256/LCAAJ_90_AnsSheet_48256_199A.tif
caa6ec7f926580d4f832c4bc109765e0  ,LCAAJ_90_AnsSheet_48254_0AA.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box090/TIFFS/LCAAJ_90_AnsSheet_48254/LCAAJ_90_AnsSheet_48254_0AA.tif
caa6ec7f926580d4f832c4bc109765e0  ,LCAAJ_90_AnsSheet_48254_00B.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box090/TIFFS/LCAAJ_90_AnsSheet_48254/LCAAJ_90_AnsSheet_48254_00B.tif
795b63afc696d52025fbad00d84df84f  ,LCAAJ_82_AnsSheet_47283_221.tif,/Columbia_LCAAJ_14-003_Shipment001/LCAAJ_Box082/TIFFs/LCAAJ_82_AnsSheet_47283/LCAAJ_82_AnsSheet_47283_221.tif
f144566fdbd2f4bbafa2d95a4d9083c0  ,LCAAJ_169_AnsSheet_56274A_018A.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box169/TIFFS/LCAAJ_169_AnsSheet_56274A/LCAAJ_169_AnsSheet_56274A_018A.tif
1a89b9752b94b4db4f6ec223c411dad4  ,LCAAJ_180_AnsSheet_52046_237A.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52046/LCAAJ_180_AnsSheet_52046_237A.tif
60cf048919a0bb1c93daaaf03e83b5f9  ,LCAAJ_180_AnsSheet_51168_237B.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_51168/LCAAJ_180_AnsSheet_51168_237B.tif
46594f50139e7f973a30802b505afed8  ,LCAAJ_180_AnsSheet_52065_007.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_007.tif
ac4b0935d9d23ada6f4b194b432bffb1  ,LCAAJ_180_AnsSheet_52065_001.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_001.tif
39f22ddf79c86bfc3cba93a822500d80  ,LCAAJ_180_AnsSheet_52065_002.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_002.tif
f142195efaa6c3928382fbef15127ee0  ,LCAAJ_180_AnsSheet_52065_005.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_005.tif
511c121507d8fbc48a6372a189338dc8  ,LCAAJ_180_AnsSheet_52065_000.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_000.tif
b14ca757b19293bd3456434accabf0a4  ,LCAAJ_180_AnsSheet_52065_008.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_008.tif
573bc3a23da76ed3984f5fc77420d4c3  ,LCAAJ_180_AnsSheet_52065_010.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_010.tif
719455d6a492ddbeaffb5ef144026411  ,LCAAJ_180_AnsSheet_52065_006.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_006.tif
240299d0e5bc55c44dc30e2231cb5697  ,LCAAJ_180_AnsSheet_52065_004.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_004.tif
fae1a6edf766fcef55c3c58d6538c410  ,LCAAJ_180_AnsSheet_52065_003.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_003.tif
e066beb104a7bdf3596b2295980f45ee  ,LCAAJ_180_AnsSheet_52065_014.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_014.tif
75d925d6a690c517c81c09eeec4f592a  ,LCAAJ_180_AnsSheet_52065_012.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_012.tif
d170c29e53ebe3afaa459cd91f6d9fcb  ,LCAAJ_180_AnsSheet_52065_013.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_013.tif
f92dda773f39760ad596f95019b0d538  ,LCAAJ_180_AnsSheet_52065_011.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_011.tif
b85dde5adb4754f70c1e96bcbd8ed0e9  ,LCAAJ_180_AnsSheet_52065_009.tif,/Columbia_LCAAJ_14-003_Shipment006_part2/LCAAJ_Box180/TIFFS/LCAAJ_180_AnsSheet_52065/LCAAJ_180_AnsSheet_52065_009.tif
